,target,feature,weight,,,,,,,,,
0,brazilian,cachaca,2.801827169,,,,,,350,indian,curry,3.258223703
1,brazilian,açai,2.029572188,,,,,,351,indian,masala,2.358887605
2,brazilian,manioc,1.932786337,,,,,,352,indian,yogurt,2.285327048
3,brazilian,tapioca,1.481421501,,,,,,353,indian,cardamom,2.239544514
4,brazilian,dende,1.41441874,,,,,,354,indian,tandoori,2.02536888
5,brazilian,palm,1.35527477,,,,,,355,indian,yoghurt,1.731807433
6,brazilian,lime,1.321410396,,,,,,356,indian,chilies,1.690337281
7,brazilian,sprinkle,1.294837463,,,,,,357,indian,curd,1.68068947
8,brazilian,heart,1.184304416,,,,,,358,indian,naan,1.663419666
9,brazilian,collard,1.178534639,,,,,,359,indian,cumin,1.639396815
10,brazilian,passion,1.135743611,,,,,,360,indian,garam,1.352101544
11,brazilian,granola,1.09990218,,,,,,361,indian,oil,1.334345253
12,brazilian,acai,1.087339147,,,,,,362,indian,pistachio,1.281113348
13,brazilian,coconut,1.04818751,,,,,,363,indian,ghee,1.264225283
14,brazilian,yucca,1.009875022,,,,,,364,indian,chutney,1.252319688
15,brazilian,cheese,0.984368611,,,,,,365,indian,chapati,1.222803853
16,brazilian,milk,0.964058697,,,,,,366,indian,basmati,1.190191797
17,brazilian,salsa,0.870844077,,,,,,367,indian,ginger,1.186846437
18,brazilian,pure,0.832167282,,,,,,368,indian,cilantro,1.169156065
19,brazilian,tomato,0.828086237,,,,,,369,indian,chile,1.163755223
20,brazilian,shrimp,0.821006571,,,,,,370,indian,turmeric,1.114959567
21,brazilian,bay,0.817968718,,,,,,371,indian,tamarind,1.085377356
22,brazilian,tongue,0.809162942,,,,,,372,indian,lentil,1.083096377
23,brazilian,chia,0.782790351,,,,,,373,indian,cardamon,1.080462669
24,brazilian,meal,0.772413451,,,,,,374,indian,cashew,1.065959942
25,brazilian,bean,0.766774763,,,,,,375,indian,cauliflower,0.978612589
26,brazilian,farofa,0.76417362,,,,,,376,indian,seed,0.968114145
27,brazilian,cashew,0.761610136,,,,,,377,indian,tumeric,0.956270961
28,brazilian,vodka,0.760432244,,,,,,378,indian,coriander,0.933639859
29,brazilian,condensed,0.748443458,,,,,,379,indian,paneer,0.92937618
30,brazilian,blueberry,0.742094745,,,,,,380,indian,soy,-0.896739249
31,brazilian,licor,0.739589319,,,,,,381,indian,cherry,-0.905488588
32,brazilian,bacon,0.738993293,,,,,,382,indian,smoked,-0.916947397
33,brazilian,cilantro,0.735445455,,,,,,383,indian,bay,-0.922856322
34,brazilian,chocolate,0.734158608,,,,,,384,indian,snow,-0.956991578
35,brazilian,orange,0.732550762,,,,,,385,indian,lemongrass,-0.972610441
36,brazilian,berry,0.709817428,,,,,,386,indian,beer,-0.975187766
37,brazilian,oil,0.705104777,,,,,,387,indian,vanilla,-0.977377665
38,brazilian,cocoa,0.701912984,,,,,,388,indian,pork,-0.997845457
39,brazilian,chevre,0.701556096,,,,,,389,indian,olive,-1.001870096
40,brazilian,bell,0.700379939,,,,,,390,indian,thai,-1.055223683
41,brazilian,ice,0.691541229,,,,,,391,indian,fish,-1.099867492
42,brazilian,chimichurri,0.668868485,,,,,,392,indian,allspice,-1.133102047
43,brazilian,peppered,0.665761704,,,,,,393,indian,orange,-1.138857078
44,brazilian,parsley,0.650117162,,,,,,394,indian,thyme,-1.207183165
45,brazilian,stone,0.646092717,,,,,,395,indian,grass,-1.222574374
46,brazilian,cardamom,-0.645063496,,,,,,396,indian,egg,-1.248392236
47,brazilian,basil,-0.704414996,,,,,,397,indian,parsley,-1.257633924
48,brazilian,sauce,-0.749271774,,,,,,398,indian,garlic,-1.342776421
49,brazilian,evaporated,-1.022900891,,,,,,399,indian,celery,-1.355035783
50,british,stilton,2.923078292,,,,,,,,,
51,british,mincemeat,1.648124746,,,,,,,,,
52,british,malt,1.619290662,,,,,,,,,
53,british,currant,1.596675679,,,,,,,,,
54,british,jam,1.557340553,,,,,,,,,
55,british,cheddar,1.553480954,,,,,,,,,
56,british,mustard,1.405248656,,,,,,,,,
57,british,suet,1.398558501,,,,,,,,,
58,british,haddock,1.355731761,,,,,,,,,
59,british,marmite,1.301559676,,,,,,,,,
60,british,date,1.256719582,,,,,,,,,
