,target,feature,weight,,,,,Sno.,target,feature,weight
0,brazilian,cachaca,11.3825843,,,,,350,indian,curry,11.37629229
1,brazilian,manioc,7.689332985,,,,,351,indian,masala,8.404190316
2,brazilian,tapioca,7.152878505,,,,,352,indian,cardamom,8.099741894
3,brazilian,açai,7.103011569,,,,,353,indian,yogurt,7.171339975
4,brazilian,collard,6.627968778,,,,,354,indian,yoghurt,7.1116075
5,brazilian,stone,6.028037255,,,,,355,indian,cumin,6.569874078
6,brazilian,lime,5.823450484,,,,,356,indian,curd,6.458224432
7,brazilian,dende,5.768958683,,,,,357,indian,chilies,6.418303952
8,brazilian,cilantro,5.58460145,,,,,358,indian,tandoori,6.04449037
9,brazilian,coconut,5.454106481,,,,,359,indian,naan,5.683321197
10,brazilian,orange,4.832072328,,,,,360,indian,cauliflower,5.503478671
11,brazilian,bean,4.772884409,,,,,361,indian,ghee,5.345066914
12,brazilian,sprinkle,4.719719834,,,,,362,indian,paneer,5.322099703
13,brazilian,condensed,4.640905335,,,,,363,indian,chile,5.259756944
14,brazilian,piri,4.637466108,,,,,364,indian,chutney,5.054061042
15,brazilian,bay,4.503906132,,,,,365,indian,cilantro,4.625433973
16,brazilian,laurel,4.343856455,,,,,366,indian,wafer,4.361518294
17,brazilian,chia,4.318570403,,,,,367,indian,cardamon,4.348293035
18,brazilian,tomato,4.148584566,,,,,368,indian,garam,4.159154472
19,brazilian,chocolate,4.119802538,,,,,369,indian,chapati,4.054180566
20,brazilian,olive,4.110614836,,,,,370,indian,ginger,4.010215285
21,brazilian,meal,4.009177501,,,,,371,indian,oil,3.970106147
22,brazilian,milk,4.005824771,,,,,372,indian,pistachio,3.966007672
23,brazilian,margarine,3.969097323,,,,,373,indian,basmati,3.945780795
24,brazilian,alcohol,3.951199391,,,,,374,indian,chickpea,3.937394878
25,brazilian,vodka,3.922092597,,,,,375,indian,turmeric,3.823770076
26,brazilian,cheese,3.915426124,,,,,376,indian,tumeric,3.758481997
27,brazilian,avocado,3.850894013,,,,,377,indian,tamarind,3.71958367
28,brazilian,granola,3.844653017,,,,,378,indian,urad,3.69715364
29,brazilian,parmesan,3.815288795,,,,,379,indian,lentil,3.542269
30,brazilian,pizza,3.756614353,,,,,380,indian,salt,3.396339886
31,brazilian,shrimp,3.720124699,,,,,381,indian,assorted,3.341501182
32,brazilian,passion,3.711236981,,,,,382,indian,juice,3.306266219
33,brazilian,salsa,3.704245115,,,,,383,indian,maida,3.257709634
34,brazilian,palm,3.702952726,,,,,384,indian,pinenuts,-3.338399847
35,brazilian,heart,3.672969875,,,,,385,indian,dill,-3.345479474
36,brazilian,chevre,3.638899598,,,,,386,indian,vanilla,-3.358089579
37,brazilian,banana,3.630630214,,,,,387,indian,shiitake,-3.485828765
38,brazilian,table,3.574571105,,,,,388,indian,ham,-3.671493304
39,brazilian,parsley,3.493676846,,,,,389,indian,bay,-3.704375497
40,brazilian,arrow,3.484686985,,,,,390,indian,jalapeno,-3.719189195
41,brazilian,unsweetened,3.479718848,,,,,391,indian,oregano,-3.780707635
42,brazilian,pure,3.474942825,,,,,392,indian,bacon,-3.896738292
43,brazilian,pimento,3.445942347,,,,,393,indian,lemongrass,-3.942818192
44,brazilian,sunflower,3.432779958,,,,,394,indian,pork,-4.109679996
45,brazilian,sablefish,3.388687421,,,,,395,indian,grass,-4.173658211
46,brazilian,evaporated,-3.561696711,,,,,396,indian,avocado,-4.374697291
47,brazilian,cabbage,-3.671484017,,,,,397,indian,garlic,-4.376125643
48,brazilian,basil,-3.843391028,,,,,398,indian,orange,-4.789196771
49,brazilian,spray,-4.051324943,,,,,399,indian,egg,-6.503264241
50,british,stilton,10.99324654,,,,,,,,
51,british,cheddar,7.31524232,,,,,,,,
52,british,marmite,6.983662067,,,,,,,,
53,british,mincemeat,6.387512678,,,,,,,,
54,british,mustard,6.20470308,,,,,,,,
55,british,haddock,5.896578092,,,,,,,,
56,british,worcestershire,5.78878388,,,,,,,,
57,british,suet,5.501389186,,,,,,,,
58,british,currant,5.485286067,,,,,,,,
59,british,tumeric,5.293445263,,,,,,,,
60,british,sponge,5.269037229,,,,,,,,
61,british,malt,5.249584499,,,,,,,,
62,british,dripping,4.775740054,,,,,,,,
63,british,pound,4.716133428,,,,,,,,
64,british,jam,4.665288474,,,,,,,,
65,british,scotch,4.613852156,,,,,,,,
66,british,ale,4.567992312,,,,,,,,
67,british,kidney,4.548415993,,,,,,,,
68,british,toffee,4.528074714,,,,,,,,
69,british,double,4.516801472,,,,,,,,
70,british,gravy,4.418662902,,,,,,,,
71,british,date,4.388592582,,,,,,,,
72,british,fino,4.287285099,,,,,,,,
73,british,raspberry,4.261119612,,,,,,,,
74,british,graham,4.208776385,,,,,,,,
75,british,sage,4.206470811,,,,,,,,
76,british,rutabaga,4.130811458,,,,,,,,
77,british,beef,4.041704648,,,,,,,,
78,british,sausage,4.033658819,,,,,,,,
79,british,baked,4.009901361,,,,,,,,
80,british,strawberry,3.93249066,,,,,,,,
81,british,basmati,3.904323251,,,,,,,,
82,british,radish,3.880066705,,,,,,,,
83,british,crispy,3.797093079,,,,,,,,
84,british,range,3.785107837,,,,,,,,
85,british,oat,3.783437367,,,,,,,,
86,british,split,3.745692796,,,,,,,,
87,british,papaya,3.742248137,,,,,,,,
88,british,eating,3.729034887,,,,,,,,
89,british,banger,3.701469701,,,,,,,,
90,british,pickling,3.688296023,,,,,,,,
91,british,pectin,3.670767622,,,,,,,,
